"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Totaal met migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Nederlandse achtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)"
"2014";"Gelderland (PV)";293862;155060;21211;9163;11479;39707;57242;85,5;14,5;7,7;6,9
"2015";"Gelderland (PV)";297955;156267;21498;9330;11572;39564;59724;85,3;14,7;7,7;7
"2016";"Gelderland (PV)";304795;157612;21728;9493;11622;39538;64802;85;15;7,7;7,2
"2017";"Gelderland (PV)";313765;158993;21932;9689;11702;39657;71792;84,7;15,3;7,8;7,6
"2018";"Gelderland (PV)";322215;161103;22289;9923;11894;39921;77085;84,4;15,6;7,8;7,8
"2013";"Utrecht (PV)";259619;106274;51183;8291;18690;27107;48074;79,2;20,8;8,5;12,3
"2014";"Utrecht (PV)";263961;107593;52153;8334;18722;27206;49953;78,9;21,1;8,6;12,5
"2015";"Utrecht (PV)";269342;109388;53096;8367;18809;27324;52358;78,7;21,3;8,7;12,7
"2016";"Utrecht (PV)";275976;111133;53859;8399;18842;27514;56229;78,3;21,7;8,7;12,9
"2017";"Utrecht (PV)";284712;113600;54642;8465;18932;27761;61312;77,8;22,2;8,8;13,3
"2018";"Utrecht (PV)";293382;115824;55432;8622;19013;28069;66422;77,4;22,6;8,9;13,7
"2013";"Noord-Holland (PV)";789453;312725;100996;24916;100422;80402;169992;71;29;11,5;17,5
"2014";"Noord-Holland (PV)";803074;318728;102670;25135;100412;80959;175170;70,7;29,3;11,6;17,7
"2015";"Noord-Holland (PV)";821911;328324;104469;25376;100000;81307;182435;70,2;29,8;11,9;17,9
"2016";"Noord-Holland (PV)";844767;338269;106064;25558;99725;81878;193273;69,7;30,3;12,1;18,2
"2017";"Noord-Holland (PV)";872106;348974;107614;25812;99397;83035;207274;69;31;12,4;18,6
"2018";"Noord-Holland (PV)";899357;360695;108884;25982;99315;84222;220259;68,2;31,8;12,7;19
"2013";"Zuid-Holland (PV)";1039839;366905;115019;61350;148534;131850;216181;70,8;29,2;10,3;18,9
"2014";"Zuid-Holland (PV)";1055069;373121;117312;61902;148805;132551;221378;70,5;29,5;10,4;19,1
"2015";"Zuid-Holland (PV)";1078061;383588;119386;63060;149352;133094;229581;70,1;29,9;10,7;19,3
"2016";"Zuid-Holland (PV)";1103020;393078;121367;63994;149698;133694;241189;69,5;30,5;10,9;19,6
"2017";"Zuid-Holland (PV)";1132031;402834;123328;65237;150227;134845;255560;69;31;11;20
"2018";"Zuid-Holland (PV)";1163898;414974;125483;66948;151007;136056;269430;68,4;31,6;11,3;20,3
"2013";"Zeeland (PV)";61630;42801;2293;1826;2535;3233;8942;83,8;16,2;11,2;4,9
"2014";"Zeeland (PV)";62757;43574;2280;1856;2557;3192;9298;83,5;16,5;11,4;5
"2015";"Zeeland (PV)";64003;44403;2292;1868;2542;3168;9730;83,2;16,8;11,7;5,1
"2016";"Zeeland (PV)";65591;45070;2330;1894;2534;3142;10621;82,8;17,2;11,8;5,4
"2017";"Zeeland (PV)";67309;45714;2318;1940;2519;3147;11671;82,4;17,6;12;5,7
"2018";"Zeeland (PV)";69162;46600;2324;1986;2507;3201;12544;81,9;18,1;12,2;5,9
"2013";"Noord-Brabant (PV)";413481;211565;41130;15450;19126;51043;75167;83,3;16,7;8,6;8,2
"2014";"Noord-Brabant (PV)";421494;216125;41673;15510;19220;50985;77981;83;17;8,7;8,3
"2015";"Noord-Brabant (PV)";431323;220807;42094;15753;19202;50596;82871;82,7;17,3;8,9;8,5
"2016";"Noord-Brabant (PV)";443027;225686;42397;15963;19172;50533;89276;82,3;17,7;9;8,7
"2017";"Noord-Brabant (PV)";457825;231192;42940;16154;19223;50668;97648;81,8;18,2;9,2;9
"2018";"Noord-Brabant (PV)";473917;238818;43513;16559;19323;51288;104416;81,3;18,7;9,4;9,3
"2013";"Limburg (PV)";230068;163531;16864;4026;3127;12305;30215;79,5;20,5;14,6;5,9
"2014";"Limburg (PV)";231838;163748;17006;4100;3128;12267;31589;79,3;20,7;14,6;6,1
"2015";"Limburg (PV)";233569;163643;17036;4136;3140;12197;33417;79,1;20,9;14,6;6,3
"2016";"Limburg (PV)";235875;163493;16989;4248;3149;12138;35858;78,9;21,1;14,6;6,5
"2017";"Limburg (PV)";240556;164120;16991;4398;3173;12179;39695;78,5;21,5;14,7;6,8
"2018";"Limburg (PV)";243657;165007;16976;4529;3204;12194;41747;78,2;21,8;14,8;7
