"Soort misdrijf";"Perioden";"Regio's";"Geregisteerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Friesland (PV)";3442
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Friesland (PV)";3623
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Friesland (PV)";3263
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Friesland (PV)";2478
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Friesland (PV)";1793
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Friesland (PV)";1790
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Drenthe (PV)";2347
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Drenthe (PV)";2337
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Drenthe (PV)";2300
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Drenthe (PV)";1849
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Drenthe (PV)";1319
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Drenthe (PV)";1148
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Overijssel (PV)";9515
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Overijssel (PV)";8979
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Overijssel (PV)";8624
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Overijssel (PV)";7319
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Overijssel (PV)";6306
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Overijssel (PV)";5514
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Flevoland (PV)";2026
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Flevoland (PV)";1985
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Flevoland (PV)";1975
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Flevoland (PV)";1904
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Flevoland (PV)";1032
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Flevoland (PV)";1123
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Gelderland (PV)";14162
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Gelderland (PV)";13413
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Gelderland (PV)";11376
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Gelderland (PV)";10945
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Gelderland (PV)";8037
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Gelderland (PV)";7193
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Utrecht (PV)";7964
